CustomerID,ActualLabel,ActualLabel_Text,PredictedProbability,PredictedLabel,PredictedLabel_Text,ChurnRisk,OrderValue,NumItems,NumUniqueProducts,BasketRepeatScore,BestProductRepeatScore,Month,MonthName,DaysFromStart,DayOfWeek,IsWeekend,IsBusinessHours,Country,CountryRepeatRate,MonthRepeatRate,AvgItemPrice,OrderValuePercentile,NumItemsPercentile,TimePeriod,ProductQuality,RiskCategory,OrderValueCategory,PredictionCorrect,PredictionType
12346,0,One-time Buyer,0.30743375,0,One-time Buyer,0.6925663,77183.6,1,1,0.4615,0.4615,1,January,48,3,0,1,United Kingdom,0.6548,0.8153,1.04,100.0,0.0,Dec-Jan,Low,High Risk,Very Large (>$800),True,Correct
12347,1,Repeat Buyer,0.97123766,1,Repeat Buyer,0.02876234,711.79,31,31,0.757,0.9375,12,December,6,3,0,1,Iceland,1.0,0.8369,2.89,87.99,75.44,Dec-Jan,Very High,Low Risk,Large ($400-$800),True,Correct
12348,1,Repeat Buyer,0.9727896,1,Repeat Buyer,0.027210414,892.8,17,13,0.7207,1.0,12,December,15,5,0,0,Finland,0.5833,0.8369,2.92,92.41,48.28,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12349,0,One-time Buyer,0.15095556,0,One-time Buyer,0.84904444,1757.55,73,73,0.6156,0.875,11,November,355,2,0,1,Italy,0.4286,0.2601,8.29,98.25,95.67,Aug-Sep,Medium,Very High Risk,Very Large (>$800),True,Correct
12350,0,One-time Buyer,0.2517043,0,One-time Buyer,0.74829566,334.4,17,17,0.6559,0.7931,2,February,63,4,0,1,Norway,0.6,0.7711,3.84,59.97,48.28,Feb-Mar,Medium,High Risk,Medium ($200-$400),True,Correct
12352,1,Repeat Buyer,0.58647436,1,Repeat Buyer,0.41352564,296.5,15,15,0.7167,0.8182,2,February,77,4,0,1,Norway,0.6,0.7711,4.56,48.44,41.73,Feb-Mar,High,Medium Risk,Medium ($200-$400),True,Correct
12353,0,One-time Buyer,0.32529825,0,One-time Buyer,0.67470175,89.0,4,4,0.7048,0.8462,5,May,169,5,0,1,Bahrain,0.0,0.6937,6.07,5.95,8.81,Apr-May,High,High Risk,Small (<$200),True,Correct
12354,0,One-time Buyer,0.28312647,0,One-time Buyer,0.7168735,1079.4,58,58,0.6765,0.8205,4,April,141,5,0,1,Spain,0.6429,0.6667,4.5,94.97,92.09,Apr-May,Medium,High Risk,Very Large (>$800),True,Correct
12355,0,One-time Buyer,0.2607397,0,One-time Buyer,0.7392603,459.4,13,13,0.6761,0.8182,5,May,159,2,0,1,Bahrain,0.0,0.6937,4.2,75.86,35.79,Apr-May,Medium,High Risk,Large ($400-$800),True,Correct
12356,1,Repeat Buyer,0.7654739,1,Repeat Buyer,0.2345261,2271.62,36,36,0.7336,0.8727,1,January,48,3,0,1,Portugal,0.6316,0.8153,3.17,99.05,79.92,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12357,0,One-time Buyer,0.40435842,0,One-time Buyer,0.5956416,6207.67,131,131,0.64,0.9,11,November,340,1,1,1,Switzerland,0.75,0.2601,3.35,99.84,99.33,Aug-Sep,Medium,High Risk,Very Large (>$800),True,Correct
12358,1,Repeat Buyer,0.3646907,0,One-time Buyer,0.63530934,484.86,12,12,0.7068,0.8333,7,July,223,3,0,1,Austria,0.4444,0.6011,7.72,77.68,32.9,Jun-Jul,High,High Risk,Large ($400-$800),False,False Negative
12359,1,Repeat Buyer,0.8664201,1,Repeat Buyer,0.13357991,547.5,16,16,0.7579,0.8889,1,January,42,4,0,1,Cyprus,0.5714,0.8153,18.25,81.65,44.94,Dec-Jan,Very High,Low Risk,Large ($400-$800),True,Correct
12360,1,Repeat Buyer,0.7568789,1,Repeat Buyer,0.24312109,1083.58,45,45,0.7019,0.9167,5,May,173,2,0,1,Austria,0.4444,0.6937,3.66,95.0,86.23,Apr-May,High,Low Risk,Very Large (>$800),True,Correct
12361,0,One-time Buyer,0.5552294,1,Repeat Buyer,0.44477057,189.9,10,10,0.7412,0.8098,2,February,86,6,0,1,Belgium,0.75,0.7711,3.34,29.63,26.47,Feb-Mar,High,Medium Risk,Small (<$200),False,False Positive
12362,1,Repeat Buyer,0.9826134,1,Repeat Buyer,0.017386615,479.1,27,27,0.743,1.0,2,February,78,5,0,1,Belgium,0.75,0.7711,2.67,77.31,69.29,Feb-Mar,High,Low Risk,Large ($400-$800),True,Correct
12363,1,Repeat Buyer,0.61267644,1,Repeat Buyer,0.38732356,299.1,16,16,0.7153,0.7952,4,April,131,2,0,1,Unspecified,1.0,0.6667,2.28,49.14,44.94,Apr-May,High,Medium Risk,Medium ($200-$400),True,Correct
12364,1,Repeat Buyer,0.36600733,0,One-time Buyer,0.6339927,623.92,34,34,0.6824,0.7947,8,August,261,6,0,1,Belgium,0.75,0.5444,2.04,85.24,78.3,Aug-Sep,High,High Risk,Large ($400-$800),False,False Negative
12365,1,Repeat Buyer,0.6969017,1,Repeat Buyer,0.30309832,320.69,21,21,0.7239,0.875,2,February,82,2,0,1,Cyprus,0.5714,0.7711,2.7,57.39,58.45,Feb-Mar,High,Medium Risk,Medium ($200-$400),True,Correct
12367,0,One-time Buyer,0.279984,0,One-time Buyer,0.720016,168.9,11,11,0.7264,0.8098,12,December,369,2,0,1,Denmark,0.75,0.8369,3.2,25.5,29.49,Aug-Sep,High,High Risk,Small (<$200),True,Correct
12370,1,Repeat Buyer,0.9711727,1,Repeat Buyer,0.02882731,1590.82,83,82,0.7274,1.0,12,December,13,3,0,1,Cyprus,0.5714,0.8369,2.39,97.53,97.03,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12371,1,Repeat Buyer,0.9101842,1,Repeat Buyer,0.089815795,1527.96,62,62,0.648,0.9667,10,October,314,3,0,1,Switzerland,0.75,0.3464,3.29,97.26,93.18,Aug-Sep,Medium,Low Risk,Very Large (>$800),True,Correct
12372,1,Repeat Buyer,0.4207638,0,One-time Buyer,0.5792362,399.22,20,20,0.7051,0.8098,2,February,77,4,0,1,Denmark,0.75,0.7711,3.2,69.84,55.8,Feb-Mar,High,High Risk,Medium ($200-$400),False,False Negative
12373,0,One-time Buyer,0.38014644,0,One-time Buyer,0.61985356,364.6,14,14,0.7392,0.8451,2,February,62,3,0,1,Austria,0.4444,0.7711,4.58,65.23,38.53,Feb-Mar,High,High Risk,Medium ($200-$400),True,Correct
12374,0,One-time Buyer,0.06661667,0,One-time Buyer,0.93338335,742.93,33,33,0.5869,0.75,11,November,348,2,0,1,Austria,0.4444,0.2601,4.22,88.91,77.63,Aug-Sep,Low,Very High Risk,Large ($400-$800),True,Correct
12375,1,Repeat Buyer,0.50127804,1,Repeat Buyer,0.49872196,230.3,11,11,0.7187,0.8451,9,September,275,6,0,1,Finland,0.5833,0.4749,6.1,38.44,29.49,Aug-Sep,High,Medium Risk,Medium ($200-$400),True,Correct
12377,1,Repeat Buyer,0.9154619,1,Repeat Buyer,0.0845381,1001.52,43,43,0.717,0.9012,12,December,19,2,0,1,Switzerland,0.75,0.8369,2.11,93.94,85.15,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12378,0,One-time Buyer,0.39614552,0,One-time Buyer,0.6038545,4008.62,219,219,0.6512,0.8916,8,August,244,3,0,1,Switzerland,0.75,0.5444,3.0,99.68,99.93,Aug-Sep,Medium,High Risk,Very Large (>$800),True,Correct
12379,1,Repeat Buyer,0.7031251,1,Repeat Buyer,0.29687488,459.84,20,20,0.704,0.8913,6,June,203,4,0,1,Belgium,0.75,0.6405,3.19,75.91,55.8,Jun-Jul,High,Medium Risk,Large ($400-$800),True,Correct
