CustomerID,target,days_to_second_purchase,order_value,num_items,num_unique_products,total_quantity,avg_item_price,product_diversity_ratio,order_complexity_score,day_of_week,month,hour,is_weekend,is_business_hours,days_from_start,Country,country_repeat_rate,month_repeat_rate,basket_repeat_score,best_product_repeat_score,products_with_history_count,order_value_percentile,num_items_percentile
12346,0,,77183.6,1,1,74215,1.04,1,0,3,1,10,0,1,48,United Kingdom,0.6548,0.8153,0.4615,0.4615,1,100,0
12347,1,49,711.79,31,31,319,2.89,1,1.3501,3,12,14,0,1,6,Iceland,1,0.8369,0.757,0.9375,30,87.99,75.44
12348,1,39,892.8,17,13,1254,2.92,0.7647,0.2475,5,12,19,0,0,15,Finland,0.5833,0.8369,0.7207,1,17,92.41,48.28
12349,0,,1757.55,73,73,631,8.29,1,3.0321,2,11,9,0,1,355,Italy,0.4286,0.2601,0.6156,0.875,73,98.25,95.67
12350,0,,334.4,17,17,197,3.84,1,0.8642,4,2,16,0,1,63,Norway,0.6,0.7711,0.6559,0.7931,17,59.97,48.28
12352,1,13,296.5,15,15,98,4.56,1,0.7589,4,2,12,0,1,77,Norway,0.6,0.7711,0.7167,0.8182,15,48.44,41.73
12353,0,,89,4,4,20,6.07,1,0.1798,5,5,17,0,1,169,Bahrain,0,0.6937,0.7048,0.8462,4,5.95,8.81
12354,0,,1079.4,58,58,530,4.5,1,3.1165,5,4,13,0,1,141,Spain,0.6429,0.6667,0.6765,0.8205,58,94.97,92.09
12355,0,,459.4,13,13,240,4.2,1,0.3679,2,5,13,0,1,159,Bahrain,0,0.6937,0.6761,0.8182,13,75.86,35.79
12356,1,80,2271.62,36,36,1216,3.17,1,0.5705,3,1,9,0,1,48,Portugal,0.6316,0.8153,0.7336,0.8727,36,99.05,79.92
12357,0,,6207.67,131,131,2708,3.35,1,2.7645,1,11,16,1,1,340,Switzerland,0.75,0.2601,0.64,0.9,128,99.84,99.33
12358,1,149,484.86,12,12,100,7.72,1,0.297,3,7,10,0,1,223,Austria,0.4444,0.6011,0.7068,0.8333,12,77.68,32.9
12359,1,26,547.5,16,16,144,18.25,1,0.4676,4,1,12,0,1,42,Cyprus,0.5714,0.8153,0.7579,0.8889,16,81.65,44.94
12360,1,88,1083.58,45,45,434,3.66,1,1.8688,2,5,9,0,1,173,Austria,0.4444,0.6937,0.7019,0.9167,45,95,86.23
12361,0,,189.9,10,10,91,3.34,1,0.5266,6,2,13,0,1,86,Belgium,0.75,0.7711,0.7412,0.8098,10,29.63,26.47
12362,1,69,479.1,27,27,229,2.67,1,1.5216,5,2,10,0,1,78,Belgium,0.75,0.7711,0.743,1,27,77.31,69.29
12363,1,132,299.1,16,16,282,2.28,1,0.8559,2,4,13,0,1,131,Unspecified,1,0.6667,0.7153,0.7952,16,49.14,44.94
12364,1,34,623.92,34,34,555,2.04,1,1.8528,6,8,15,0,1,261,Belgium,0.75,0.5444,0.6824,0.7947,34,85.24,78.3
12365,1,0,320.69,21,21,173,2.7,1,1.3752,2,2,13,0,1,82,Cyprus,0.5714,0.7711,0.7239,0.875,21,57.39,58.45
12367,0,,168.9,11,11,173,3.2,1,0.7164,2,12,16,0,1,369,Denmark,0.75,0.8369,0.7264,0.8098,11,25.5,29.49
12370,1,2,1590.82,83,82,917,2.39,0.988,4.2783,3,12,12,0,1,13,Cyprus,0.5714,0.8369,0.7274,1,81,97.53,97.03
12371,1,14,1527.96,62,62,582,3.29,1,2.5158,3,10,10,0,1,314,Switzerland,0.75,0.3464,0.648,0.9667,62,97.26,93.18
12372,1,83,399.22,20,20,224,3.2,1,1.002,4,2,12,0,1,77,Denmark,0.75,0.7711,0.7051,0.8098,20,69.84,55.8
12373,0,,364.6,14,14,197,4.58,1,0.5376,3,2,13,0,1,62,Austria,0.4444,0.7711,0.7392,0.8451,14,65.23,38.53
12374,0,,742.93,33,33,342,4.22,1,1.4658,2,11,15,0,1,348,Austria,0.4444,0.2601,0.5869,0.75,33,88.91,77.63
12375,1,87,230.3,11,11,87,6.1,1,0.5254,6,9,14,0,1,275,Finland,0.5833,0.4749,0.7187,0.8451,11,38.44,29.49
12377,1,39,1001.52,43,43,604,2.11,1,1.8462,2,12,9,0,1,19,Switzerland,0.75,0.8369,0.717,0.9012,43,93.94,85.15
12378,0,,4008.62,219,219,2529,3,1,11.9645,3,8,10,0,1,244,Switzerland,0.75,0.5444,0.6512,0.8916,218,99.68,99.93
12379,1,88,459.84,20,20,211,3.19,1,0.8699,4,6,16,0,1,203,Belgium,0.75,0.6405,0.704,0.8913,20,75.91,55.8
12380,1,107,607.55,36,36,293,2.62,1,2.1332,3,6,9,0,1,188,Belgium,0.75,0.6405,0.7201,0.8846,36,84.44,79.92
12381,1,60,1268.74,62,62,568,3.96,1,3.0298,6,8,9,0,1,254,Norway,0.6,0.5444,0.6545,0.9444,62,96.38,93.18
12383,1,20,600.72,37,37,754,1.33,1,2.2789,4,12,14,0,1,21,Belgium,0.75,0.8369,0.7008,0.7895,37,84.21,80.61
12384,1,92,292.69,14,14,62,7.8,1,0.6697,4,8,11,0,1,252,Switzerland,0.75,0.5444,0.6436,0.8,14,47.94,38.53
12386,1,29,258.9,8,8,214,2.73,1,0.2472,4,12,9,0,1,7,Australia,0.8889,0.8369,0.7058,0.7978,8,43.12,20.38
12388,1,21,431.3,19,19,204,2.74,1,0.837,2,1,11,0,1,47,Australia,0.8889,0.8153,0.7498,0.9,19,73.46,53.01
12390,0,,549.84,32,32,353,4,1,1.8624,4,9,9,0,1,294,Belgium,0.75,0.4749,0.6712,0.8098,32,81.85,76.55
12391,0,,460.89,100,92,300,2.46,0.92,19.9614,6,11,12,0,1,352,Cyprus,0.5714,0.2601,0.59,0.8372,99,76,98.48
12393,1,3,462.5,19,19,238,2.18,1,0.7805,3,1,9,0,1,41,Australia,0.8889,0.8153,0.7534,0.8519,19,76.23,53.01
12394,1,153,381.08,21,21,182,3.02,1,1.1572,6,5,14,0,1,156,Belgium,0.75,0.6937,0.6859,0.8098,21,67.44,58.45
12395,1,13,346.1,12,12,528,3.12,1,0.4161,6,12,16,0,1,2,Belgium,0.75,0.8369,0.7466,0.8205,12,62.19,32.9
12397,1,99,1214.81,70,70,704,3.54,1,4.0336,4,7,14,0,1,238,Belgium,0.75,0.6011,0.6763,0.8045,70,96.03,95.27
12398,0,,1635.66,85,85,1394,1.99,1,4.4172,3,10,10,0,1,328,Switzerland,0.75,0.3464,0.6442,0.8696,84,97.74,97.28
12399,1,48,288.05,20,20,364,1.65,1,1.3886,4,3,9,0,1,112,Belgium,0.75,0.7212,0.7276,0.792,20,47.18,55.8
12401,0,,84.3,5,5,11,9.68,1,0.2966,4,2,13,0,1,70,Belgium,0.75,0.7711,0.7147,0.7947,5,5.46,11.04
12402,0,,225.6,11,11,94,3.29,1,0.5363,5,1,13,0,1,50,Belgium,0.75,0.8153,0.7483,0.8182,11,37.38,29.49
12403,0,,427.7,5,5,96,7.08,1,0.0585,6,10,10,0,1,324,Denmark,0.75,0.3464,0.7226,0.8,5,72.98,11.04
12405,0,,1710.39,54,54,857,3.54,1,1.7049,5,7,8,0,0,225,Finland,0.5833,0.6011,0.6803,0.8571,54,98.13,90.5
12406,1,161,1621.25,49,48,793,3.04,0.9796,1.4507,5,6,10,0,1,190,Denmark,0.75,0.6405,0.7323,0.9667,49,97.67,88.08
12407,1,28,226.3,15,15,215,2.38,1,0.9943,1,3,13,1,1,109,Belgium,0.75,0.7212,0.7152,0.8,15,37.61,41.73
12408,1,0,762.89,32,32,330,3.33,1,1.3423,5,3,14,0,1,113,Belgium,0.75,0.7212,0.7289,0.8846,32,89.49,76.55
12409,1,103,6207.08,64,64,3142,3.71,1,0.6599,6,6,12,0,1,191,Switzerland,0.75,0.6405,0.6775,0.8261,64,99.82,93.71
12410,1,0,625.33,22,22,203,5.94,1,0.774,6,2,10,0,1,65,Switzerland,0.75,0.7711,0.7532,1,22,85.29,60.69
12412,1,31,514.5,28,28,358,2.49,1,1.5238,5,6,13,0,1,204,Denmark,0.75,0.6405,0.6663,0.8098,28,79.92,70.39
12413,1,100,479.25,24,24,180,5.13,1,1.2019,5,1,16,0,1,36,France,0.6782,0.8153,0.717,0.7952,24,77.33,64.63
12414,1,82,153.76,7,7,145,6.64,1,0.3187,4,2,14,0,1,63,Austria,0.4444,0.7711,0.7094,0.7895,7,21.07,17.32
12415,1,3,7011.38,46,46,4662,1.87,1,0.3018,5,1,11,0,1,36,Australia,0.8889,0.8153,0.7354,0.8916,46,99.86,86.81
12417,1,38,291.34,11,11,60,7,1,0.4153,6,12,11,0,1,16,Belgium,0.75,0.8369,0.7518,0.95,11,47.66,29.49
12418,0,,668.58,34,34,407,3.56,1,1.729,6,8,11,0,1,261,Switzerland,0.75,0.5444,0.67,0.7857,34,86.79,78.3
12420,0,,600.39,29,29,345,4.71,1,1.4008,6,10,8,0,0,310,Cyprus,0.5714,0.3464,0.6466,0.9375,29,84.18,71.94
12421,1,145,157.45,11,11,104,4.16,1,0.7685,2,1,15,0,1,54,Spain,0.6429,0.8153,0.7607,0.9,11,22.32,29.49
12422,1,156,238.5,13,13,113,2.82,1,0.7086,4,1,9,0,1,49,Australia,0.8889,0.8153,0.7712,0.8846,12,39.68,35.79
12423,1,61,237.93,16,16,188,2.64,1,1.0759,3,12,10,0,1,20,Belgium,0.75,0.8369,0.7348,0.9286,16,39.54,44.94
12424,0,,1466.32,23,23,532,2.4,1,0.3608,5,6,12,0,1,211,Australia,0.8889,0.6405,0.6092,0.7742,23,97.07,62.49
12425,0,,777.2,36,36,496,2.56,1,1.6675,5,9,17,0,1,295,Portugal,0.6316,0.4749,0.6567,0.792,36,90.04,79.92
12426,0,,582.73,30,30,258,3.94,1,1.5445,1,5,12,1,1,179,Germany,0.7234,0.6937,0.6957,0.8098,30,83.31,73.92
12427,1,311,303.5,10,10,79,4.93,1,0.3295,6,12,10,0,1,2,Germany,0.7234,0.8369,0.7253,0.791,10,50.91,26.47
12428,1,0,1943.4,95,95,852,3.09,1,4.6439,3,3,9,0,1,90,Finland,0.5833,0.7212,0.7236,1,90,98.64,98.18
12429,1,137,1281.5,20,20,454,4.65,1,0.3121,5,12,12,0,1,8,Denmark,0.75,0.8369,0.7403,0.878,20,96.43,55.8
12430,0,,256.4,11,11,117,6.23,1,0.4719,5,10,15,0,1,330,Norway,0.6,0.3464,0.5829,0.7622,11,42.79,29.49
12431,1,16,358.25,14,14,107,5.28,1,0.5471,4,12,10,0,1,0,Australia,0.8889,0.8369,0.7338,0.9286,14,64.38,38.53
12432,1,0,2862.06,62,62,1090,5.17,1,1.3431,2,6,13,0,1,201,Norway,0.6,0.6405,0.6958,0.9,59,99.35,93.18
12433,1,7,1919.14,73,73,1852,1.41,1,2.7768,4,12,13,0,1,0,Norway,0.6,0.8369,0.726,0.9333,73,98.59,95.67
12434,1,175,286.25,16,16,77,5.36,1,0.8943,5,3,13,0,1,113,Australia,0.8889,0.7212,0.6978,0.84,16,46.92,44.94
12435,1,188,3978.99,19,19,879,6.43,1,0.0907,5,3,7,0,0,106,Denmark,0.75,0.7212,0.7255,0.8451,19,99.65,53.01
12436,0,,509.01,16,16,211,5.27,1,0.5029,5,9,12,0,1,274,Norway,0.6,0.4749,0.642,0.745,16,79.55,44.94
12437,1,21,392.7,7,7,134,7.31,1,0.1248,4,1,14,0,1,42,France,0.6782,0.8153,0.7024,0.7947,7,68.99,17.32
12438,1,125,890.07,49,49,586,3.44,1,2.6975,6,7,13,0,1,233,Norway,0.6,0.6011,0.674,0.9091,49,92.32,88.08
12441,0,,173.55,11,11,121,3.7,1,0.6972,4,12,10,0,1,7,France,0.6782,0.8369,0.6444,0.7436,11,26.38,29.49
12442,0,,172.06,12,12,182,3.34,1,0.8369,3,12,14,0,1,370,Spain,0.6429,0.8369,0.6545,0.7812,12,26.12,32.9
12444,1,49,1870.2,90,90,582,5.26,1,4.3311,3,6,14,0,1,202,Norway,0.6,0.6405,0.6949,0.9375,90,98.55,97.86
12445,0,,133.4,4,4,62,7.99,1,0.1199,5,11,18,0,0,351,Spain,0.6429,0.2601,0.4839,0.6752,4,16.42,8.81
12446,0,,1002.31,57,57,351,4.35,1,3.2415,5,10,12,0,1,316,RSA,0,0.3464,0.6306,0.8045,56,93.98,91.72
12447,0,,476.49,26,26,190,3.57,1,1.4187,1,4,13,1,1,130,Belgium,0.75,0.6667,0.6957,0.8205,26,77.13,67.6
12448,0,,449.45,22,22,243,5.95,1,1.0769,4,10,13,0,1,329,Spain,0.6429,0.3464,0.6475,0.7885,22,75.03,60.69
12449,1,57,858.93,48,48,390,3.35,1,2.6824,1,6,15,1,1,186,Belgium,0.75,0.6405,0.7217,1,48,91.81,87.66
12450,1,17,101.88,6,6,64,1.67,1,0.3534,1,6,14,1,1,200,Spain,0.6429,0.6405,0.6088,0.7627,6,8.09,14.43
12451,1,106,2919.51,101,101,2334,2.24,1,3.4941,4,1,9,0,1,49,Switzerland,0.75,0.8153,0.744,1,98,99.38,98.55
12452,1,0,350.57,21,21,183,2.79,1,1.258,4,11,8,0,0,357,Switzerland,0.75,0.2601,0.6219,0.8182,21,62.92,58.45
12453,0,,707.09,43,43,473,2.39,1,2.6149,5,7,14,0,1,239,Austria,0.4444,0.6011,0.6514,0.8571,43,87.89,85.15
12454,0,,3528.34,15,15,1006,7.28,1,0.0638,6,10,17,0,1,317,Spain,0.6429,0.3464,0.5865,0.8065,15,99.52,41.73
12455,1,1,1683.9,41,41,1522,2.28,1,0.9983,4,2,9,0,1,77,Cyprus,0.5714,0.7711,0.7212,0.9286,41,97.95,83.68
12456,1,123,940.17,41,41,445,4.18,1,1.788,4,3,9,0,1,119,Switzerland,0.75,0.7212,0.7375,1,41,93.15,83.68
